name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Every,2686297,1219190,383957,22848,2036454,1077708,32620,82863,https://cheese.formice.com/transformice/tribe/36420
a drink in hell,3988101,1496691,574644,63316,2450959,1088942,990611,138856,https://cheese.formice.com/transformice/tribe/1027734
fenix x,13007104,4131841,526071,77711,3205062,939087,165438,151968,https://cheese.formice.com/transformice/tribe/605944
Gloopperski,2222695,1341185,40789,6088,1702578,242296,1225426,20494,https://cheese.formice.com/transformice/tribe/656282
Wild Wild West,9686310,3625226,114946,47554,2734236,574438,1217531,73814,https://cheese.formice.com/transformice/tribe/1119563
Catalonia,8062619,2826531,415516,64638,2922567,1206602,301081,119041,https://cheese.formice.com/transformice/tribe/2233
Swirl,3645002,1471621,383463,42745,2273932,904688,853469,112955,https://cheese.formice.com/transformice/tribe/1016033
Taiwan!,3326032,1629309,148669,15330,2033324,597135,482653,77009,https://cheese.formice.com/transformice/tribe/1242
evil god,1660102,780535,301883,48899,1636385,824097,557410,85531,https://cheese.formice.com/transformice/tribe/981655
Swagytracks,11545535,3709000,1501245,138798,2658635,1206564,837105,150269,https://cheese.formice.com/transformice/tribe/855487
Carpe Omnia,5661925,2163466,301769,22884,2542521,882208,646567,120960,https://cheese.formice.com/transformice/tribe/421025
That Sexy Tribe,6336874,2400696,359105,31670,2577954,1207692,174972,110576,https://cheese.formice.com/transformice/tribe/99819
Loyals,4607849,1865228,361847,60676,2321530,792914,738494,146217,https://cheese.formice.com/transformice/tribe/726083
Friends Inc,4402720,1969826,168259,35616,2138071,702282,1027512,83555,https://cheese.formice.com/transformice/tribe/1118210
Unvisible Moon,13633423,4196301,184456,34911,2949106,805128,626195,118141,https://cheese.formice.com/transformice/tribe/787331
Odyssey,4568252,1883465,425809,117933,2249378,899307,537599,107029,https://cheese.formice.com/transformice/tribe/494627
Afternoon Tea Time,4566115,2080710,156740,67810,2053630,698828,455610,76687,https://cheese.formice.com/transformice/tribe/528892
Forococheros,5491435,2053821,338729,20980,2437583,788015,232267,99378,https://cheese.formice.com/transformice/tribe/49704
Legendary Rats Myth,9789173,3098935,556653,81917,2874827,1000467,6405,114051,https://cheese.formice.com/transformice/tribe/219323
Bc 24Hs,12112342,3869802,426155,363221,2636990,920010,415865,145217,https://cheese.formice.com/transformice/tribe/1055183
The Best Of Legend's,15098570,4424373,145127,64104,2757589,671657,516870,88877,https://cheese.formice.com/transformice/tribe/976541
We will always be together,5030895,2269860,48569,34775,1974280,439365,1109323,27757,https://cheese.formice.com/transformice/tribe/983560
Dexsi,5600097,2106912,437855,75904,2313939,839832,761458,126463,https://cheese.formice.com/transformice/tribe/1034752
Jamahiriya,4285991,1711191,285007,23197,2150496,644970,251391,87128,https://cheese.formice.com/transformice/tribe/78885
Flor de Lotus,1433090,919045,10060,2024,1305421,718573,495820,4569,https://cheese.formice.com/transformice/tribe/1048926
Imperium Sera,3059149,1328114,330248,25601,1887058,1015783,44892,81188,https://cheese.formice.com/transformice/tribe/485633
Somente Memorias,8746226,2932198,502753,56126,2578918,1052245,434780,134972,https://cheese.formice.com/transformice/tribe/1019789
Thundermouse,4205233,1678826,207806,7226,2114912,560543,314494,83883,https://cheese.formice.com/transformice/tribe/24333
Vanilla na veia racing na cadeia,8904067,2943779,392748,85328,2584936,933246,396694,134040,https://cheese.formice.com/transformice/tribe/983799
